ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
ABW,Aruba,Latin America & Caribbean,High income,68.86,44.59,29.61,9.22,30.26,D,47960,100,76.5,,14.0655418559377,,97.17,3.61855755636695,160.365278789947,130.647974615427,2.42051208397071,1951000,,,8.8,6.86800836378335
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,35.24,11.83,16.55,23.34,20.03,I,2210,85.3,66.289,30.5547223111169,10.85435962677,,16.09499931,,67.5846651516385,60.0990815591219,0.144466946606861,,27.0161290322581,5.086,20,
AGO,Angola,Sub-Saharan Africa,Lower middle income,25.63,21.67,12.27,58.95,25.18,N,9460,51.1,64.805,,9.9549065722902,,40.70479965,2.51273663315785,50.8422305562091,69.7039467163584,-1.0986881170909,218000,39.0909090909091,72.224,52.9,16.6897206933082
ALB,Albania,Europe & Central Asia,Upper middle income,67.36,45.02,18.97,44.79,40.06,N,26500,100,79.776,70.7937363898968,84.1496200561523,0.19997,85.86389923,3.09153008460998,79.4546360752224,89.1328603947682,6.32349466068578,2658000,35,58.567,41.9,1.52935344981595
AND,Andorra,Europe & Central Asia,High income,86.92,41.15,31.83,45.93,47.82,N,76090,100,84.188,90.6400018060858,67.6767676767677,0.15818,94.39759827,1.89867997169495,,155.692108667529,6.64266743694098,5207000,50,,18.7,21.4346319155008
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,89.17,51.28,44.84,41.13,53.89,D,81530,100,83.069,98.6413172332089,63.7384451086316,1.49469,100,3.89404010772705,199.044979237546,203.206410299544,8.26261712974626,8084000,50,53.027,1,8.96029397394575
ARG,Argentina,Latin America & Caribbean,Upper middle income,65.10,56.44,22.40,37.57,41.93,N,29800,100,77.543,,107.822574129434,0.60111,89.66715228,5.00324010848999,27.929760849367,140.234979049333,1.82409522925391,7399000,41.2451361867704,52.469,9.2,3.85019697474113
ARM,Armenia,Europe & Central Asia,Upper middle income,68.13,36.36,28.62,42.22,41.59,N,22020,100,78.319512195122,82.0728191880242,52.7748065090859,0.2861,81.33930206,2.43869996070862,150.064726588742,134.88694751567,0.506878336560983,375000,38.3177570093458,51.057,9.1,23.6403270515259
ASM,American Samoa,East Asia & Pacific,High income,72.59,7.47,16.07,0.00,0.00,D,,,72.992,90.5383360522023,19.6201190948486,,0,,124.684270952928,,,899.999976158142,,,0.4,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,65.90,38.17,36.73,3.65,24.10,D,31730,100,77.766,,25.1156271899089,,72.73040009,3.10505161832136,117.703527768353,200.540715208962,11.1314252318887,384500,5.55555555555556,,0.9,0
AUS,Australia,East Asia & Pacific,High income,82.72,63.54,18.83,50.73,47.34,N,69600,100,83.0512195121951,,108.421989440918,1.85783,96.13140106,5.05915021896362,47.1453811065195,112.581025002429,3.03883928325354,1828000,46,62.513,12.3,25.1586416457084
AUT,Austria,Europe & Central Asia,High income,86.74,65.44,28.67,47.82,52.82,N,74160,100,81.9951219512195,98.8915357232143,92.6126708984375,3.25517,91.92573373,5.27749013900757,108.825777834405,124.45929984531,2.55351579610657,15091000,35.5191256830601,55.059,36,18.4525766859019
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,58.73,38.44,20.32,28.65,33.86,N,24220,100,74.576,57.8118283196096,41.3413783372226,0.20778,90.80000181,3.66036009788513,82.6898691594703,109.543149535867,0.311206693209432,796000,20.8,60.759,1.3,2.91095088102775
BDI,Burundi,Sub-Saharan Africa,Low income,7.39,15.27,12.41,64.64,17.35,M,1200,11.6,63.818,,6.38454008102417,,8.595999718,4.5040397644043,,63.1631365759764,1.08105925624791,299000,39.6396396396396,79.498,83,1.30508367041098
BEL,Belgium,Europe & Central Asia,High income,87.32,66.27,24.65,42.81,49.71,N,74770,100,82.3,99.5471345182049,82.1475601196289,3.27235,95.77579144,6.27611017227173,158.931826338067,103.90465332676,-6.1601989579997,2584000,41.3333333333333,49.78,11.7,20.3921453422236
BEN,Benin,Sub-Saharan Africa,Lower middle income,19.42,21.42,19.59,59.25,26.36,M,4390,57,60.961,17.6968322374867,10.2350101470947,,33.98379898,3.22974322056608,40.6398022401523,125.940873932186,2.5276563137227,337000,26.605504587156,75.164,54.5,30.5389584270212
BFA,Burkina Faso,Sub-Saharan Africa,Low income,8.41,19.12,19.38,47.08,19.57,M,2720,21.7,61.292,,10.0419678526515,0.10477,28.25270081,5.32757840997187,60.5024222912348,116.5895933212,0.358681465803854,67000,18.3098591549296,64.074,71.4,1.64548901950889
BGD,Bangladesh,South Asia,Lower middle income,56.32,28.50,15.80,35.94,30.90,N,10060,99.5,74.93,59.1254259857148,23.7295608009814,,53.42171316,2.0343847791384,26.7780758040478,108.077037369691,0.283870773350074,323000,20.8571428571429,38.649,25,
BGR,Bulgaria,Europe & Central Asia,High income,73.29,46.39,25.18,35.75,41.83,N,39850,100,75.7609756097561,96.2070781494387,69.5460433959961,0.79224,82.438955,4.50109004974365,110.22631455921,118.067152838789,3.1312025090285,4973000,25,50.376,20.4,13.4299683659831
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,83.76,40.71,33.80,21.14,39.51,D,62230,100,81.423,98.9039755631804,58.3677241853667,0.19327,100,1.88778167912993,157.818492147586,159.536143577452,5.73694505846498,1909000,20,42.294,0,0.387343644517371
BHS,"Bahamas, The",Latin America & Caribbean,High income,64.38,40.91,18.85,29.80,34.88,N,39550,100,74.71,,14.8425798416138,,92.47270203,2.74191570247934,79.2424586933455,96.6798992232414,1.51932088638775,1794500,18.4210526315789,70.728,1.1,0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,69.65,37.33,23.16,31.46,37.10,N,24990,100,78.044,86.400107879006,45.5027618408203,0.21437,86.10091103,3.24564826597779,95.1562957108171,121.232373011893,3.39024835333872,197000,19.047619047619,39.241,36.6,6.16317357059664
BLR,Belarus,Europe & Central Asia,Upper middle income,69.62,49.69,27.99,36.12,43.25,N,32300,100,74.3653414634147,93.0597552933534,70.1107509145358,0.5872,94.26182128,5.04593992233276,131.91792910245,131.123016605614,2.28598440253164,3598000,33.9449541284404,56.769,8.2,6.01576846359853
BLZ,Belize,Latin America & Caribbean,Upper middle income,55.94,44.55,17.27,27.30,32.92,N,13760,99.6,73.739,,24.8098643151325,,80.00582262,4.62276317232973,108.972446521476,67.1750266305468,4.00992513639046,487000,12.5,46.472,30.8,0.000191087699111545
BMU,Bermuda,North America,High income,96.51,31.78,18.02,9.81,27.14,D,129110,100,82.49,,17.3357105255127,0.22546,98.37,1.86510440752276,75.2902443250736,96.6767745528807,1.27620852105354,51400.0015258789,,,0.9,14.3007432825453
BOL,Bolivia,Latin America & Caribbean,Lower middle income,49.69,46.00,16.05,51.02,36.99,N,12620,99.8,68.739,,,0.06308,79.70469666,7.53980016708374,46.9778716148403,98.0287940811943,0.652112801170427,323299.987792969,50.7692307692308,72.868,12.8,8.79395083358911
BRA,Brazil,Latin America & Caribbean,Upper middle income,67.66,50.84,17.90,39.92,39.60,N,21590,99.8,76.023,88.6239660721414,69.7317733764648,1.1938,84.46347227,5.61920976638794,35.5845239385389,101.926846460424,3.38960802616211,6353000,18.1286549707602,53.411,46.5,11.1103644206652
BRB,Barbados,Latin America & Caribbean,High income,62.00,45.78,22.40,38.05,39.44,N,23850,100,76.332,,50.801079116886,,70.36470032,3.55593188106322,,114.580721030894,4.04185101459713,966000,26.6666666666667,61.03,5.5,19.9263557583818
BRN,Brunei Darussalam,East Asia & Pacific,High income,80.05,62.68,25.24,21.44,40.59,D,92750,100,75.501,,36.4182725443167,,96.29828801,,132.587439642245,118.130579766209,0.189449066349964,1071000,11.4285714285714,54.436,0,1.06433459453488
BTN,Bhutan,South Asia,Lower middle income,57.78,36.51,18.74,40.84,35.65,N,15320,100,73.262,65.5942159692749,13.011259392916,0.09979,91.27739716,5.84518003463745,81.7366278688545,99.7576826476519,0.338339566584512,29799.9992370605,4.25531914893617,56.7,82.5,0.0107261524845822
BWA,Botswana,Sub-Saharan Africa,Upper middle income,47.85,36.95,27.29,30.55,34.84,N,20570,76,69.293,63.2910412393649,21.4087908549348,,57.45950036,,71.1052579052124,163.999922257361,2.40833479893043,1830000,8.95522388059701,63.708,27.4,0.539469030954736
CAF,Central African Republic,Sub-Saharan Africa,Low income,1.59,8.87,8.28,51.86,8.82,M,1340,17.6,57.671,6.21748768966731,2.77519989013672,,13.78250027,1.82995911310419,46.4318999802251,38.8217901039988,1.46851186564355,87000,11.4285714285714,65.464,90.9,8.29978042191414
CAN,Canada,North America,High income,84.13,55.63,26.34,43.32,48.07,N,63630,100,82.1080487804878,96.890322656349,76.2666931152344,1.7908,94.353302,4.84426021575928,65.1499212653783,94.1059718794246,2.81029565355294,32430000,30.3206997084548,60.204,23.8,16.7779029827711
CHE,Switzerland,Europe & Central Asia,High income,91.85,61.82,27.80,53.10,53.81,N,91110,100,84.4073170731707,96.6999968881937,73.5430526733398,3.22178,97.32103855,4.86427021026611,134.09514852061,129.471369643132,-11.5737467714118,11818000,39,62.223,27.7,29.6239015157944
CHI,Channel Islands,Europe & Central Asia,High income,92.44,0.00,0.00,0.00,0.00,I,,100,81.2,,,,,,,,,,,49.249,,
CHL,Chile,Latin America & Caribbean,High income,77.62,57.36,23.88,39.75,45.34,N,34320,100,81.359,97.8170551998161,110.176902770996,0.39205,95.590243,4.91201019287109,63.859857248066,132.660408764665,3.79129110936144,5431000,33.5483870967742,52.887,24.2,8.31650307450688
CHN,China,East Asia & Pacific,Upper middle income,64.87,56.46,28.16,42.06,45.64,N,26920,100,78.017,,76.8757843123403,2.57729,91.6,3.89714002609253,37.1984201388065,131.753932036803,0.0989988051182737,30402000,26.5367819952973,59.148,15.2,26.2777380479223
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,30.45,25.51,28.30,40.99,30.81,I,7360,72.4,62.11,36.4489381559953,12.3354902267456,,41.43219902,3.61279988288879,51.2640379409119,183.875985110648,3.58346670744132,668000,13.3858267716535,59.454,58.2,5.25759412069948
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,31.45,26.28,16.83,53.89,29.42,N,5490,72,63.968,,16.6614294830602,,46.25880051,2.83907623667935,34.4031785915423,108.213130152497,1.66655391243674,1021000,33.8888888888889,56.595,79.2,2.10363029161033
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,8.41,14.55,15.47,49.18,17.47,M,1760,22.1,62.074,11.8726481819387,6.37987995147705,,19.67350006,2.84466514463005,100.554088317275,58.532153345468,4.10789956662809,351000,12.8,61.848,96.3,0.199611665225369
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,30.27,21.14,19.70,46.38,27.65,N,6340,51.3,66.001,45.8748419970802,10.3812103271484,0.38339,47.25159836,3.34005209256916,93.1881220839752,95.5319320614796,3.83980276481754,158000,14.5695364238411,65.576,71.4,3.15972234574724
COL,Colombia,Latin America & Caribbean,Upper middle income,65.30,44.02,26.10,39.19,41.41,N,21890,98.7,77.913,74.33929919179,59.2901382446289,0.2894,79.34543299,,37.0254687077888,174.094289675393,3.26725954832527,1396000,29.4117647058824,51.624,29.7,9.02469704912672
COM,Comoros,Sub-Saharan Africa,Lower middle income,41.45,20.97,17.30,33.54,26.65,N,3980,89.8,67.023,,18.8190281456697,,32.51750183,2.34146896682989,44.3731767499027,109.855630436495,0.492716315085539,7000,18.1818181818182,47.649,39.3,3.13907204820087
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,57.78,41.92,22.14,40.87,38.48,N,11000,98.6,76.224,,24.2905954414767,,74.73519897,4.3482854136693,96.5053536678629,111.84067886381,4.03361601888808,180000,44.4444444444444,50.47,21.8,1.15215005835922
CRI,Costa Rica,Latin America & Caribbean,High income,71.53,44.24,23.98,51.94,44.56,N,28840,100,80.996,80.5000742430698,55.0202903747559,0.33738,87.17019653,5.31208992004395,71.3310137687617,136.024511151268,5.55680052586902,1146500,49.1228070175439,46.017,34.2,22.8587994049653
CUB,Cuba,Latin America & Caribbean,Upper middle income,87.14,44.23,18.32,44.49,42.10,N,,100,78.264,,43.1040700506779,0.43839,70.47699738,8.44086351669284,124.863238865053,72.930002350684,,1086000,55.7446808510638,39.974,20.9,7.87558913182664
CUW,Curacao,Latin America & Caribbean,High income,65.40,42.29,24.53,0.00,0.00,D,33300,100,76.989,,23.0842005676443,,68.1272162511339,5.44313725490196,155.268858003963,93.7975591472655,4.347105970852,1293000,,,2.8,
CYM,Cayman Islands,Latin America & Caribbean,High income,79.27,39.08,45.92,50.00,51.64,I,68030,100,80.54,,33.0195503234863,,81.0676932508161,1.57024002075195,105.472790158919,139.314997695241,166.996362350542,660000,,,0,85.5232283869582
CYP,Cyprus,Europe & Central Asia,High income,83.08,58.98,30.49,34.66,47.70,N,56200,100,81.821,99.7211088299984,120.87727355957,0.68145,89.60099246,4.74210977554321,190.40287092076,156.218025662252,-133.824278977736,4117000,14.2857142857143,61.213,15.6,18.0329234506901
CZE,Czechia,Europe & Central Asia,High income,80.71,51.06,37.11,42.62,50.53,N,54800,100,79.9780487804878,98.1448728385564,66.7282867431641,1.83369,87.68776014,4.30291986465454,131.484981069952,126.600163061009,3.76083530894919,37202000,33.5,53.456,17.2,22.4045215279558
DEU,Germany,Europe & Central Asia,High income,86.35,61.99,26.05,41.38,49.01,N,76180,100,80.7926829268293,99.9172979459354,76.7096862792969,3.1539,93.49999579,5.23916006088257,79.0907305894936,129.150921864378,1.01586176558023,12449000,32.3809523809524,55.288,17.6,17.9772990379432
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,32.26,34.05,32.19,24.67,30.56,D,8030,65.2,66.202,,5.16012001037598,,65.29889679,,241.237463098287,48.4504884885996,1.63337101411676,,26.1538461538462,19.365,26.9,3.27550022198031
DMA,Dominica,Latin America & Caribbean,Upper middle income,55.26,42.26,18.02,28.74,33.16,N,21410,100,71.294,,6.9480299949646,,82.04689789,5.38572189060925,,85.1898961482058,8.70431929375585,140000,40.625,,8.9,2.88328233207454
DNK,Denmark,Europe & Central Asia,High income,89.43,65.82,31.13,53.96,56.08,N,84680,100,82.2536585365854,99.9188271389611,78.9604110717773,3.04841,99.76915157,6.35586023330688,131.765030975207,126.686532566268,4.29658848924698,15595000,43.5754189944134,60.792,39.5,17.6194498489345
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,55.03,55.12,17.04,38.97,37.67,N,26050,99.6,73.868,45.3324070681699,57.6509476207267,,91.0022446,3.7606477375256,51.7835143952326,93.7095828968519,3.6013993607877,2748000,37.3684210526316,53.655,14.8,7.68868351413961
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,62.00,49.44,17.88,8.64,26.23,D,17290,100,76.475,69.0291825248964,54.4283410150344,0.44395,77.4178009,8.97772026062012,40.1345741170703,115.457278573892,0.455370730483787,591000,7.86240786240786,14.142,0.1,
ECU,Ecuador,Latin America & Caribbean,Upper middle income,62.46,53.19,17.74,43.86,40.10,N,15410,98.7,77.579,69.8869997038501,67.8851161961618,,77.17273115,3.69074988365173,57.2031395531255,101.598265014024,0.355365031150455,2108000,45.0331125827815,52.386,18.9,9.99836390672699
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,60.63,40.56,20.97,19.25,31.56,D,18230,100,71.806,78.9401588327765,38.0398346509947,1.01757,74.64839935,,39.6007520873733,97.1295066037455,11.9719350883142,13026000,26.8456375838926,18.455,6.1,3.81290087814207
ERI,Eritrea,Sub-Saharan Africa,Low income,29.66,7.75,11.12,71.38,20.67,I,1720,54.4,68.893,,3.20262002944946,,14.34939957,,47.3937901188684,59.1248082166991,1.8886183675912,142000,22,72.838,80.7,
ESP,Spain,Europe & Central Asia,High income,85.18,57.90,32.54,43.46,51.39,N,57670,100,83.8878048780488,99.4584646653876,93.7689666748047,1.49362,95.7574516,4.58553981781006,69.9502612382631,130.260997343256,2.47896679493344,36410000,44.2857142857143,52.825,19,9.28447661569937
EST,Estonia,Europe & Central Asia,High income,79.08,53.80,29.71,47.20,49.42,N,48880,100,79.2951219512195,98.9439097263954,65.6692276000977,1.83878,92.23796204,5.20733976364136,151.037702410455,151.131825017309,-7.97097840452121,1695000,28.7128712871287,60.984,38,18.382980141257
ETH,Ethiopia,Sub-Saharan Africa,Not classified,23.61,13.72,9.90,61.70,21.09,N,3280,55.4,67.603,13.547200922558,5.9192507771213,,21.94129944,2.2978069565991,17.4004358583187,65.0825091944922,2.68582028016447,518000,41.9087136929461,58.456,90.6,3.75062055802087
FIN,Finland,Europe & Central Asia,High income,85.48,71.12,23.01,53.59,52.33,N,65640,100,82.3365853658537,99.646796710852,110.304496765137,3.0938,93.72405196,6.37578010559082,83.4601015353507,125.860954798649,2.92666706920425,896000,45.5,56.493,50.2,9.28522659633957
FJI,Fiji,East Asia & Pacific,Upper middle income,45.91,55.85,40.78,23.50,39.59,D,14490,99.3,67.463,42.1107501060855,75.0089752283697,,74.7052002,4.24679790890603,,574.152332512188,3.41161017865705,168000,9.09090909090909,38.451,28.4,2.99874841417736
FRA,France,Europe & Central Asia,High income,85.72,55.79,45.18,43.15,55.26,D,63880,100,82.9804878048781,99.7127014746794,71.5346908569336,2.17832,88.65381638,5.32434988021851,68.1081875443744,116.687800394775,1.64700185498585,117109000,36.1739130434783,51.48,16.2,23.1371073769038
FRO,Faroe Islands,Europe & Central Asia,High income,86.55,0.00,32.67,0.00,0.00,I,83290,100,83.0832463414634,,,,97.5819589384468,,105.752803037623,105.80437318324,,,,,7.9,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,40.94,24.60,12.14,20.30,22.32,N,4690,86.9,67.357,,13.3582201004028,,39.52360153,,98.4249672966653,19.9885830493962,6.43620509110735,18000,21.4285714285714,,2,
GAB,Gabon,Sub-Saharan Africa,Upper middle income,49.40,29.85,31.72,46.68,38.44,I,20400,94.1,68.511,,7.65526008605957,,68.72090149,2.31594287726056,92.0468055151256,125.337107593999,5.47750591310442,,21.5827338129496,41.629,91.3,1.77313570365975
GBR,United Kingdom,Europe & Central Asia,High income,83.81,62.60,23.22,47.87,49.14,N,61460,100,81.3868536585366,99.8229506760395,80.4146499633789,2.67614,95.4720993,5.90681982040405,62.8401605267118,121.643331373201,-0.351465690300773,11101000,40.4615384615385,57.333,12.2,29.233260009076
GEO,Georgia,Europe & Central Asia,Upper middle income,62.61,47.67,29.66,32.28,41.11,N,26200,100,74.657,70.526609726787,89.4861221313477,0.26435,83.79855689,3.98011682083814,103.456471449056,161.201784818537,4.68837813919395,1513000,16.8316831683168,56.697,25.2,3.78381539474497
GHA,Ghana,Sub-Saharan Africa,Lower middle income,40.35,36.41,26.65,33.96,33.96,N,7720,89.5,65.695,42.9413892027374,21.330810546875,,72.17569733,2.90963831638452,69.7884227390592,113.647966704673,2.14505298599888,,14.5454545454545,55.265,39,2.11003762211445
GIB,Gibraltar,Europe & Central Asia,High income,97.88,0.00,0.00,0.00,0.00,I,,100,83.63,100,,,94.4444715818151,,,97.6042968438406,,,,,0,
GIN,Guinea,Sub-Saharan Africa,Lower middle income,19.47,17.36,20.65,57.85,25.21,I,4130,51.1,60.904,,10.8547201156616,,33.30469894,1.72470879088585,97.7778177312748,97.8794996455513,5.60537419672227,99000,29.6296296296296,42.646,66.6,
GMB,"Gambia, The",Sub-Saharan Africa,Low income,34.76,26.38,20.98,30.87,27.76,N,3430,66.9,66.057,48.1790034938582,13.4765901565552,,49.49430084,2.80838156544977,42.1706172274882,126.243773523653,9.66186331873299,246000,8.62068965517241,45.459,47.7,3.34757896376015
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,19.12,15.22,21.94,61.08,24.99,I,3140,40.5,64.254,23.9850167901073,2.62031006813049,,29.77739906,,38.8065847890015,147.197631273872,1.20132689112583,52400.0015258789,9.80392156862745,60.287,87.4,
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,31.33,31.65,14.30,40.56,27.54,N,12330,66.9,63.906,,1.84452998638153,,63.29930115,,60.5414510975907,49.5380486763568,1.47277889961866,,31,52.616,4.2,
GRC,Greece,Europe & Central Asia,High income,79.62,58.81,23.66,33.77,43.98,N,43340,100,81.8390243902439,96.6861554835288,165.113418579102,1.4943,86.26968886,3.37547993659973,89.7765279446168,113.597610306796,2.6312519942121,7406000,22.8956228956229,44.666,21.5,15.011494857431
GRD,Grenada,Latin America & Caribbean,Upper middle income,65.18,63.66,20.67,25.08,38.30,N,18220,94.4,75.367,89.9176799999318,99.9891967773438,,70.16159821,5.12544845968893,,95.759239776586,11.9486288193338,217000,31.25,,10,6.4434446202485
GRL,Greenland,Europe & Central Asia,High income,59.25,0.00,33.99,0.00,0.00,I,40270,100,70.2734146341463,,,,69.4824617821988,,91.8900994375821,118.637256652974,,,,,11.7,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,52.59,25.90,18.24,38.22,31.22,N,14170,100,72.746,48.7871950677385,27.2948879201171,0.00609,60.22140121,3.07588005065918,47.344196760267,112.520863034346,1.63251851384265,594000,20,38.324,62.1,5.39604303984542
GUM,Guam,East Asia & Pacific,High income,88.28,0.00,8.34,36.90,0.00,I,,100,77.422,93.9971537831548,,,80.5054655600831,,71.8668596237337,,,328000,,56.52,6.7,
GUY,Guyana,Latin America & Caribbean,High income,62.90,51.83,35.00,37.48,45.48,N,52290,98.9,70.319,67.1744374324054,26.4315792489043,,83.00080109,,194.350757310172,112.56503784518,34.9900722943113,86400.0015258789,36.1111111111111,47.35,12.1,13.3341087055182
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,91.79,60.34,61.40,53.16,65.21,D,82320,100,85.3926829268293,100,120.08978583196,1.12597,95.75536971,3.80552005767822,359.506710667464,364.848981963231,30.924624334882,3569000,,51.805,0.4,75.5706908349979
HND,Honduras,Latin America & Caribbean,Lower middle income,54.56,36.81,16.39,38.11,33.47,N,6900,95.6,73.044,65.5162211788382,23.3177890777588,,58.62269974,4.54962037172702,91.1101585856976,70.9397440517258,3.52903749551745,669000,29.6875,39.59,45.9,3.87334759570957
HRV,Croatia,Europe & Central Asia,High income,75.81,50.79,30.27,41.53,46.91,N,49740,100,78.9292682926829,87.2682692486734,81.1775207519531,1.38621,83.63240029,4.0916600227356,104.912326073253,121.732525659138,4.87780112464328,21608000,33.112582781457,47.377,34.1,11.6739199311189
HTI,Haiti,Latin America & Caribbean,Lower middle income,24.35,17.67,9.94,52.05,21.72,N,3190,51.3,65.119,,1.05140995979309,,47.8614006,0.964648012977964,22.2478853726107,65.1889329311174,0.0792936453462934,938000,2.54237288135593,58.337,76.7,
HUN,Hungary,Europe & Central Asia,High income,76.71,48.37,28.16,34.40,43.54,N,47290,100,76.7243902439025,100,60.5168685913086,1.37748,93.77898628,3.8011999130249,146.504561505902,104.58063059269,-27.9229280333136,31641000,15.5778894472362,54.312,15.3,22.5745118826045
IDN,Indonesia,East Asia & Pacific,Upper middle income,46.59,30.22,20.20,33.84,31.32,N,16010,99.4,71.288,30.4609773643609,44.8813034886441,0.28068,72.78075544,1.27517088245674,42.572647301834,122.514946500491,1.73855500774354,4053000,21.8965517241379,53.72,20.2,8.7110437578916
IMN,Isle of Man,Europe & Central Asia,High income,94.79,0.00,0.00,0.00,0.00,I,,100,81.091,99.9105964912281,,,,,,,,,,,2.7,
IND,India,South Asia,Lower middle income,58.71,34.49,18.39,30.49,32.64,N,11000,99.5,72.235,76.4421942140842,34.4465039692543,0.64558,70,4.09865814174589,44.6492935069676,79.3526921826412,0.694133152879562,17914000,13.7867647058824,32.425,34.9,18.5723946411049
IRL,Ireland,Europe & Central Asia,High income,92.52,51.90,35.92,49.91,54.17,N,101180,100,83.009756097561,96.1250111631294,77.5933380126953,1.58829,97.18769836,2.90461993217468,246.169874857401,112.638817343502,0.791076186083952,10951000,25.2873563218391,59.755,12.7,53.5184328432158
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,70.54,41.21,26.74,5.60,25.69,D,19820,100,77.854,94.4122052108484,58.6838607788086,0.72665,85.3404007,2.82443290958712,52.0621306794348,174.066388972063,0.304914200880697,1550000,4.91228070175439,14.013,0.9,0.814007923197325
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,55.32,31.09,23.21,18.19,29.19,D,14530,100,72.424,59.8272461307615,15.5580997467041,0.0407,81.47450256,,70.7087434748943,100.080276677726,-2.73525447039729,,25.531914893617,10.937,1.1,
ISL,Iceland,Europe & Central Asia,High income,89.82,65.11,23.43,81.46,57.80,N,84060,100,82.809756097561,100,76.5200729370117,2.64005,98.209198,7.30798006057739,85.9671932681303,120.927513243653,8.51889361391957,488000,46.031746031746,70.012,82.4,53.9722930663779
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,84.38,69.68,28.74,43.16,51.97,N,56790,100,83.1975609756098,99.4619876940454,56.2561111450195,6.34589,88.18242225,5.93291997909546,54.4520002969727,177.393104798636,2.73472411141711,4905000,24.1666666666667,62.278,6.2,37.2335173751738
ITA,Italy,Europe & Central Asia,High income,85.34,51.02,32.64,34.97,47.22,N,61620,100,83.9512195121951,96.7584358284994,75.9496536254883,1.37935,89.2207202,4.06775999069214,62.8237685119526,132.575141676252,1.13001784266315,38419000,32.75,40.806,17.5,12.2827088504022
JAM,Jamaica,Latin America & Caribbean,Upper middle income,52.36,50.69,22.46,35.97,38.27,N,12690,97.7,71.606,,26.2334142821948,,90.10870361,5.51383018493652,,117.693907561175,1.38581813054415,1329699.95117188,30.1587301587302,63.033,10.5,2.64698979146794
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,67.28,49.17,16.94,16.10,30.82,D,10570,100,77.981,88.9502985282712,35.9184001120427,,95.62244985,3.23356008529663,99.6794477365724,69.6426153972396,3.06387579665258,1240000,19.5652173913043,16.029,11.5,2.08415985427159
JPN,Japan,East Asia & Pacific,High income,84.67,54.84,27.64,31.58,44.87,N,55490,100,84.0363414634146,98.7270242077337,64.4907608032227,3.44125,85.54153081,3.33663988113403,46.4069516150859,178.432441299977,0.401239653950032,4115799.8046875,15.6989247311828,55.905,8.8,17.5547415163067
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,70.47,43.72,21.13,41.16,40.46,N,37590,100,74.531,91.5454182335736,52.8612860406142,0.16242,93.39167254,4.86469984054565,57.1613431963924,127.085151242164,0.678943746848058,2035000,18.3673469387755,62.649,2,42.19530029659
KEN,Kenya,Sub-Saharan Africa,Lower middle income,33.16,21.23,19.73,48.51,28.65,N,6540,76.2,63.834,,10.4185962462804,0.81069,34.97622513,4.02242346098974,40.1860139968756,126.477706000949,0.385110027210407,2049000,23.3918128654971,63.036,67.7,3.15003013612034
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,57.67,47.05,26.25,38.50,40.69,N,7900,100,72.4,73.8812993002318,53.8761747562613,0.05269,92.0286026,6.82694680798777,127.650577802859,107.49229509732,4.03548948093475,8508000,33.3333333333333,44.136,27.6,10.6711117431705
