ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
NOR,Norway,Europe & Central Asia,High income,94.61,62.26,20.75,61.32,52.32,N,106830,100,83.1609756097561,99.0624830632163,95.4987564086914,1.85142,99,5.43234014511108,81.3635091827243,109.348606513576,2.50917917104619,1397000,40.2366863905325,62.086,61.4,25.4139359384172
NPL,Nepal,South Asia,Lower middle income,38.63,29.85,15.69,42.14,29.55,N,5830,94,70.636,16.4868856683866,21.2915596292014,,46.32189941,3.68849173764595,40.5298226771909,99.8471420273964,0.132590416512966,230000,33.0882352941176,27.473,73.7,0.617520704475872
NRU,Nauru,East Asia & Pacific,High income,36.72,63.29,30.24,10.47,29.29,D,21970,100,62.279,18.6631621110857,,,83.01170349,5.77715015411377,165.846774193548,87.1705787645115,-3.59566562291604,,10.5263157894737,,1.9,
NZL,New Zealand,East Asia & Pacific,High income,82.79,55.35,20.79,52.17,47.22,N,53600,100,82.009756097561,100,77.2406463623047,1.54848,93.51930237,5.21326017379761,51.224397222513,130.093457083544,0.676410624636643,996000,45.5284552845528,66.077,28.9,12.9670750449435
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,75.86,41.94,26.21,9.71,30.00,D,39340,100,80.246,91.1011744135751,42.226921081543,0.38979,95.25174678,4.38311004638672,114.852671522017,120.61105087402,11.6351181523148,869000,0,29.958,0.1,5.00539346096146
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,44.18,20.04,15.63,25.78,24.44,N,6100,95.6,67.799,44.9737364064737,10.8564126844434,0.16399,57.253,1.94658005237579,27.5784683520695,76.8544559649986,0.7166886452434,,17.0418006430868,24.046,41.6,2.43815248015808
PAN,Panama,Latin America & Caribbean,High income,69.26,34.11,27.16,34.00,38.43,N,39260,97,79.775,,53.6949637061742,0.19708,72.77149963,2.47225999832153,83.6737787798304,156.586507591014,3.74510335231647,647000,21.7391304347826,54.936,28,1.7673082163249
PER,Peru,Latin America & Caribbean,Upper middle income,56.90,43.77,20.42,47.98,39.52,N,16780,96.2,77.941,49.4283962319206,71.2404708862305,0.17611,81.95705992,4.35778999328613,51.4758878672647,124.623544414599,2.35092628744149,1119000,41.5384615384615,65.044,30.6,5.21372377596414
PHL,Philippines,East Asia & Pacific,Lower middle income,49.24,34.73,20.31,54.83,37.15,N,13330,98,69.946,48.4840577441825,47.4134996154186,0.27625,67.26300914,3.96922646675346,65.8854725286968,115.298749599352,2.03595540906242,1483000,28.343949044586,50.489,28,60.975307025875
PLW,Palau,East Asia & Pacific,High income,61.62,55.88,30.35,22.91,39.34,D,18320,100,69.383,90.7752173469518,71.8428437792329,,83.92549896,3.43726476321334,106.697590281594,135.386698256896,28.8707822649542,18399.9996185303,25,,0.9,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,14.44,7.53,14.23,34.07,15.15,I,4580,20.5,66.256,,1.94981002807617,,18.81159973,0.782122804685732,131.082911016249,38.7651796406789,-0.6236311790975,39000,2.7027027027027,50.822,54.6,10.2480784684723
POL,Poland,Europe & Central Asia,High income,75.68,53.12,50.51,37.60,52.57,D,49540,100,78.409756097561,88.6755462509034,80.9149627685547,1.55525,88.58496367,4.31372976303101,100.359442847164,138.016156588197,2.24523191798779,88515000,31.304347826087,51.612,15.2,13.5099699026858
PRI,Puerto Rico (US),Latin America & Caribbean,High income,78.36,60.92,25.76,21.90,40.51,D,34060,100,81.902,98.9402618391431,77.9263575380698,,87.29178106,4.27101949674789,94.6225085555605,126.426375391555,,3882000,,36.853,2.5,
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,58.01,10.45,0.00,47.15,0.00,N,,57.5,73.743,66.6121349621259,26.7206192016602,,0,,,24.1311041179361,,,17.6128093158661,77.713,14.7,
